## {'coords': 'spherical', 'metric': 'Arc', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  5.4135e+00   5.3931e+00   1.6842e+00   1.2019e-06   2.3901e-06   8.7070e-07   2.0113e+08   2.0113e+08
  6.3458e+00   6.3487e+00   1.8472e+00  -1.5087e-05  -4.2917e-06   7.4178e-07   2.7713e+08   2.7713e+08
  7.4387e+00   7.4731e+00   2.0103e+00  -5.6479e-06   2.1819e-06   6.1895e-07   3.9803e+08   3.9803e+08
  8.7198e+00   8.7762e+00   2.1712e+00  -1.8022e-05  -1.6874e-06   5.5110e-07   5.0207e+08   5.0207e+08
  1.0222e+01   1.0244e+01   2.3258e+00  -2.3473e-05  -5.1920e-07   4.6622e-07   7.0153e+08   7.0153e+08
  1.1982e+01   1.2034e+01   2.4868e+00  -3.1262e-05   4.2342e-07   3.8926e-07   1.0064e+09   1.0064e+09
  1.4046e+01   1.4116e+01   2.6464e+00  -4.7676e-05  -1.5542e-06   3.3856e-07   1.3303e+09   1.3303e+09
  1.6465e+01   1.6533e+01   2.8045e+00  -7.2942e-05   1.1972e-06   2.8776e-07   1.8415e+09   1.8415e+09
  1.9300e+01   1.9397e+01   2.9642e+00  -1.2056e-04   2.3846e-07   2.4383e-07   2.5648e+09   2.5648e+09
  2.2624e+01   2.2746e+01   3.1235e+00  -1.8836e-04   6.5960e-07   2.0954e-07   3.4728e+09   3.4728e+09
  2.6520e+01   2.6659e+01   3.2822e+00  -2.2269e-04   9.1332e-07   1.7846e-07   4.7880e+09   4.7880e+09
  3.1088e+01   3.1256e+01   3.4413e+00  -2.4824e-04   1.1282e-06   1.5231e-07   6.5734e+09   6.5734e+09
  3.6442e+01   3.6633e+01   3.6000e+00  -2.6990e-04   1.3175e-06   1.3029e-07   8.9826e+09   8.9826e+09
  4.2718e+01   4.2933e+01   3.7587e+00  -2.8448e-04   2.0995e-06   1.1113e-07   1.2347e+10   1.2347e+10
  5.0075e+01   5.0332e+01   3.9177e+00  -2.8629e-04   2.0790e-06   9.4820e-08   1.6960e+10   1.6960e+10
  5.8699e+01   5.9004e+01   4.0767e+00  -2.7561e-04   2.1396e-06   8.1050e-08   2.3212e+10   2.3212e+10
  6.8809e+01   6.9162e+01   4.2355e+00  -2.6336e-04   2.3232e-06   6.9232e-08   3.1813e+10   3.1813e+10
  8.0659e+01   8.1072e+01   4.3944e+00  -2.4607e-04   3.1872e-06   5.9151e-08   4.3582e+10   4.3582e+10
  9.4551e+01   9.5034e+01   4.5533e+00  -2.3159e-04   4.8166e-06   5.0560e-08   5.9651e+10   5.9651e+10
  1.1083e+02   1.1140e+02   4.7122e+00  -2.1795e-04   6.4840e-06   4.3240e-08   8.1556e+10   8.1556e+10
