#Om_m =              Om_b =              Om_l =              Om_r =               n_s =             h_100 =                w0 =                w1 =            sigma8 = powerspectrum modus:                    
2.6480000000e-01    4.4800000000e-02    7.3511530166e-01    8.4698336485e-05    9.6300000000e-01    7.1000000000e-01   -1.0000000000e+00    0.0000000000e+00    8.0100000000e-01                   1
#z =                 a = 
1.0392472879e-02    9.8971441974e-01
1.1177604566e-02    9.8894595320e-01
1.1962984482e-02    9.8817843670e-01
1.2748613011e-02    9.8741186821e-01
1.3534490541e-02    9.8664624572e-01
1.4320617458e-02    9.8588156722e-01
1.5106994149e-02    9.8511783070e-01
1.5893621002e-02    9.8435503416e-01
1.6680498405e-02    9.8359317560e-01
1.7467626746e-02    9.8283225305e-01
1.8255006415e-02    9.8207226451e-01
1.9042637801e-02    9.8131320801e-01
1.9830521293e-02    9.8055508158e-01
2.0618657281e-02    9.7979788324e-01
2.1407046157e-02    9.7904161104e-01
2.2195688311e-02    9.7828626303e-01
2.2984584135e-02    9.7753183724e-01
2.3773734020e-02    9.7677833174e-01
2.4563138360e-02    9.7602574459e-01
2.5352797546e-02    9.7527407385e-01
2.6142711971e-02    9.7452331760e-01
2.6932882030e-02    9.7377347390e-01
2.7723308117e-02    9.7302454085e-01
2.8513990626e-02    9.7227651652e-01
2.9304929951e-02    9.7152939902e-01
3.0096126489e-02    9.7078318643e-01
3.0887580635e-02    9.7003787686e-01
3.1679292784e-02    9.6929346842e-01
3.2471263335e-02    9.6854995922e-01
3.3263492683e-02    9.6780734738e-01
3.4055981227e-02    9.6706563102e-01
3.4848729364e-02    9.6632480828e-01
3.5641737493e-02    9.6558487728e-01
3.6435006012e-02    9.6484583616e-01
3.7228535321e-02    9.6410768307e-01
3.8022325820e-02    9.6337041615e-01
3.8816377908e-02    9.6263403357e-01
3.9610691986e-02    9.6189853347e-01
4.0405268455e-02    9.6116391402e-01
4.1200107716e-02    9.6043017340e-01
4.1995210173e-02    9.5969730977e-01
4.2790576225e-02    9.5896532132e-01
4.3586206278e-02    9.5823420623e-01
4.4382100733e-02    9.5750396268e-01
4.5178259994e-02    9.5677458887e-01
4.5974684466e-02    9.5604608300e-01
4.6771374553e-02    9.5531844327e-01
4.7568330659e-02    9.5459166790e-01
4.8365553192e-02    9.5386575508e-01
4.9163042555e-02    9.5314070305e-01
4.9960799156e-02    9.5241651003e-01
5.0758823401e-02    9.5169317424e-01
5.1557115697e-02    9.5097069391e-01
5.2355676453e-02    9.5024906728e-01
5.3154506076e-02    9.4952829260e-01
5.3953604975e-02    9.4880836811e-01
5.4752973558e-02    9.4808929206e-01
5.5552612236e-02    9.4737106271e-01
5.6352521417e-02    9.4665367832e-01
5.7152701513e-02    9.4593713715e-01
5.7953152935e-02    9.4522143748e-01
5.8753876092e-02    9.4450657757e-01
5.9554871398e-02    9.4379255572e-01
6.0356139264e-02    9.4307937020e-01
6.1157680103e-02    9.4236701929e-01
6.1959494328e-02    9.4165550131e-01
6.2761582352e-02    9.4094481453e-01
6.3563944589e-02    9.4023495727e-01
6.4366581455e-02    9.3952592784e-01
6.5169493362e-02    9.3881772453e-01
6.5972680728e-02    9.3811034568e-01
6.6776143968e-02    9.3740378959e-01
6.7579883497e-02    9.3669805460e-01
6.8383899733e-02    9.3599313903e-01
6.9188193093e-02    9.3528904122e-01
6.9992763994e-02    9.3458575950e-01
7.0797612855e-02    9.3388329223e-01
7.1602740093e-02    9.3318163773e-01
7.2408146129e-02    9.3248079438e-01
7.3213831380e-02    9.3178076052e-01
7.4019796269e-02    9.3108153451e-01
7.4826041213e-02    9.3038311471e-01
7.5632566636e-02    9.2968549951e-01
7.6439372956e-02    9.2898868726e-01
7.7246460598e-02    9.2829267635e-01
7.8053829982e-02    9.2759746516e-01
7.8861481532e-02    9.2690305208e-01
7.9669415670e-02    9.2620943549e-01
8.0477632820e-02    9.2551661379e-01
8.1286133407e-02    9.2482458538e-01
8.2094917854e-02    9.2413334866e-01
8.2903986588e-02    9.2344290204e-01
8.3713340032e-02    9.2275324393e-01
8.4522978614e-02    9.2206437274e-01
8.5332902759e-02    9.2137628690e-01
8.6143112895e-02    9.2068898484e-01
8.6953609449e-02    9.2000246497e-01
8.7764392848e-02    9.1931672573e-01
